Description,Code,Number of jobs (thousand),Median annual pay
   Beauticians and related occupations,6222,28,15009
  Housekeeping and Related Services,623,102,20737
   Housekeepers and related occupations,6231,40,16618
   Caretakers,6232,62,25147
  Cleaning and Housekeeping Managers and Supervisors,624,48,24931
   Cleaning and housekeeping managers and supervisors,6240,48,24931
  Bed and Breakfast and Guest House Owners and Proprietors ,625,..,
   Bed and breakfast and guest house owners and proprietors ,6250,..,
 Community and civil enforcement occupations,63,24,31050
  Community and Civil Enforcement Occupations,631,24,31050
   Police community support officers,6311,11,35189
   Parking and civil enforcement occupations,6312,14,27766
Sales and customer service occupations,7,1518,18001
 Sales occupations,71,1142,15975
  Sales Assistants and Retail Cashiers,711,1014,14819
   Sales and retail assistants,7111,895,14491
   Retail cashiers and check-out operators,7112,51,14018
   Telephone salespersons,7113,9,26944
   Pharmacy and optical dispensing assistants,7114,47,17993
   Vehicle and parts salespersons and advisers,7115,12,31750
  Sales Related Occupations,712,37,27655
   Collector salespersons and credit agents,7121,x,x
"   Debt, rent and other cash collectors",7122,10,27454
   Roundspersons and van salespersons,7123,x,26984
   Market and street traders and assistants,7124,x,x
   Visual merchandisers and related occupations,7125,x,25488
   Sales related occupations n.e.c.,7129,20,28870
  Shopkeepers and Sales Supervisors,713,92,26277
   Shopkeepers and owners - retail and wholesale,7131,6,35083
   Sales supervisors - retail and wholesale ,7132,85,26112
 Customer service occupations,72,375,25127
  Customer Service Occupations,721,357,24739
   Call and contact centre occupations,7211,35,25440
   Telephonists,7212,4,x
   Communication operators,7213,15,34934
   Market research interviewers,7214,x,x
   Customer service occupations n.e.c.,7219,299,24438
  Customer Service Supervisors,722,18,34033
   Customer service supervisors,7220,18,34033
"Process, plant and machine operatives",8,1265,31830
" Process, plant and machine operatives",81,603,29940
  Process Operatives,811,212,28116
"   Food, drink and tobacco process operatives",8111,147,27267
   Textile process operatives,8112,9,25572
   Chemical and related process operatives,8113,17,33531
   Plastics process operatives,8114,12,29644
   Metal making and treating process operatives,8115,12,31893
   Process operatives n.e.c.,8119,14,30843
  Metal Working Machine Operatives,812,14,31344
   Metal working machine operatives ,8120,14,31344
  Plant and Machine Operatives,813,54,31860
   Paper and wood machine operatives,8131,13,29640
   Mining and quarry workers and related operatives,8132,x,38301
   Energy plant operatives,8133,x,x
   Water and sewerage plant operatives,8134,11,39057
   Printing machine assistants,8135,10,29657
   Plant and machine operatives n.e.c.,8139,12,29142
  Assemblers and Routine Operatives,814,179,28892
   Assemblers (electrical and electronic products),8141,18,28241
   Assemblers (vehicles and metal goods),8142,40,31041
   Routine inspectors and testers,8143,36,33982
"   Weighers, graders and sorters",8144,x,29141
"   Tyre, exhaust and windscreen fitters",8145,13,30429
   Sewing machinists,8146,14,22767
   Assemblers and routine operatives n.e.c.,8149,53,26975
  Construction Operatives,815,120,33287
"   Scaffolders, stagers and riggers",8151,x,40797
   Road construction operatives,8152,18,38315
   Rail construction and maintenance operatives,8153,11,44445
